id,name
1,Jawa Barat
2,Bali
3,Nusa Tenggara Barat
4,Jawa Tengah
5,Daerah Istimewa Yogyakarta
6,Jawa Timur
7,Sulawesi Selatan
8,Sumatera Barat
9,Jambi
10,Lampung
11,Sumatera Selatan
12,Bengkulu
13,Banten
14,Kepulauan Bangka Belitung
15,Dki Jakarta
16,Kalimantan Selatan
17,Kalimantan Barat
18,Kalimantan Tengah
19,Nusa Tenggara Timur
20,Maluku
21,Papua Selatan
22,Sulawesi Barat
23,Papua Tengah
24,Papua Pegunungan
25,Papua Barat
26,Papua
27,Sulawesi Tengah
28,Sulawesi Tenggara
29,Kepulauan Riau
30,Riau
31,Sumatera Utara
32,Kalimantan Timur
33,Kalimantan Utara
34,Sulawesi Utara
35,Aceh
36,Maluku Utara
37,Papua Barat Daya
38,Gorontalo
