id,districtId,name
1,1,Cidadap
2,2,Cidadap
3,3,Cidahu
4,4,Cidatar
5,5,Cidolog
6,6,Cidugaleun
7,7,Cidulang
8,8,Ciela
9,9,Ciemas
10,10,Ciengang
11,11,Cigadog
12,12,Cigadog
13,13,Cigagade
14,14,Cigaleuh
15,6,Cigalontang
16,15,Ciganjeng
17,16,Cigantang
18,17,Cigaronggong
19,18,Cigawir
20,19,Cigedug
21,20,Cigintung
22,21,Cigugur
23,22,Cigunung
24,23,Cihaur
25,2,Cihaur
26,24,Cihaurkuning
27,25,Cihaurkuning
28,26,Ciherang
29,27,Ciheras
30,28,Cihikeu
31,29,Cihuni
32,30,Cihurip
33,31,Cijambe
34,32,Cijangkar
35,33,Cijayana
36,34,Cijenuk
37,13,Cijolang
38,35,Cijulang
39,36,Cijulang
40,37,Cijulang
41,10,Cijurey
42,38,Cikadongdong
43,39,Cikadu
44,40,Cikadu
45,41,Cikadu
46,42,Cikajang
47,43,Cikalang
48,44,Cikalong
49,40,Cikalong
50,45,Cikalong
51,40,Cikancra
52,42,Cikandang
53,46,Cikapinis
54,47,Cikarang
55,25,Cikarag
56,48,Cikarang
57,5,Cikarang
58,48,Cikaranggeusan
59,49,Cikareo Selatan
60,49,Cikareo Utara
61,50,Cikawung
62,27,Cikawunggading
63,8,Cikedokan
64,31,Cikelet
65,44,Cikembulan
66,51,Cikembulan
67,52,Cikeusal
68,53,Cikeusal
69,7,Cikijing
70,54,Cikondang
71,36,Cikondang
72,24,Cikondang
73,55,Cikubang
74,46,Cikukulu
75,56,Cikundul
76,57,Cikunir
77,57,Cikunten
78,46,Cikupa
79,58,Cikuya
80,59,Cilamajang
81,60,Cilampunghilir
82,25,Cilampuyang
83,7,Cilancang
84,61,Cilangari
85,23,Cilangkap
86,62,Cilangkap
87,63,Cilawu
88,64,Cilembang
89,49,Cilengkrang
90,41,Cileuleus
91,65,Ciliang
92,53,Cilolohan
93,66,Cilumba
94,67,Cimahi
95,68,Cimahpar
96,69,Cimanganten
97,70,Cimanggu
98,54,Cimanggu
99,71,Cimanggu
100,72,Cimanggu
101,73,Cimangguhilir
102,40,Cimanuk
103,29,Cimaragas
104,74,Cimareme
105,75,Cimenteng
106,76,Cimerak
107,77,Cimerang
108,21,Cimindi
109,78,Cimuncang
110,79,Cimuncang
111,49,Cimungkal
112,80,Cimurah
113,25,Cinagara
114,73,Cinambo
115,36,Cineam
116,81,Cinengah
117,54,Cingambul
118,8,Cinisti
119,82,Cinta
120,54,Cintaasih
121,4,Cintaasih
122,83,Cintaasih
123,58,Cintabodas
124,84,Cintadamai
125,53,Cintajaya
126,65,Cintakarya
127,39,Cintakarya
128,83,Cintakarya
129,82,Cintamanik
130,19,Cintanagara
131,57,Cintaraja
132,83,Cintarakyat
133,83,Cintarasa
134,65,Cintaratu
135,46,Cintawangi
136,85,Cinunjang
137,86,Cinunuk
138,87,Cipacing
139,4,Cipaganti
140,45,Cipaingeun
141,57,Cipakat
142,5,Cipamingkis
143,27,Cipanas
144,88,Cipancar
145,56,Cipanengah
146,42,Cipangramatan
147,89,Ciparakan
148,76,Ciparanti
149,48,Ciparay
150,90,Cipareuan
151,16,Cipari
152,91,Cipasang
153,14,Cipasung
154,27,Cipatujah
155,16,Cipawitra
156,92,Cipedes
157,73,Cipeundeuy
158,93,Cipeundeuy
159,58,Cipicung
160,74,Cipicung
161,94,Cipondok
162,7,Cipulus
163,95,Ciracap
164,78,Ciranca
165,54,Ciranjeng
166,18,Cirapuhan
167,96,Ciroyom
168,31,Ciroyom
169,51,Cisaat
170,14,Cisalak
171,30,Cisangkal
172,70,Cisarua
173,36,Cisarua
174,83,Cisarua
175,60,Cisaruni
176,41,Cisayong
177,97,Cisempur
178,4,Cisero
179,47,Cisewu
180,25,Cisitu
181,32,Cisitu
182,7,Cisoka
183,24,Cisompet
184,4,Cisurupan
185,98,Citalahab
186,99,Citamba
187,77,Citamiang
188,93,Citanglar
189,29,Citangtu
190,100,Citarik
191,100,Citepus
192,25,Citeras
193,20,Ciudian
194,101,Ciwalat
195,79,Ciwalen
196,13,Ciwangi
197,102,Ciwarak
198,9,Ciwaru
199,31,Cigadog
200,66,Cogreg
201,57,Cokadongdong
202,103,Condong
203,45,Cukangjayaguna
204,45,Cukangkawung
205,75,Curugkembar
206,104,Curugluhur
207,74,Dangdeur
208,105,Dangiang
209,63,Dangiang
210,88,Dano
211,27,Darawati
212,106,Darmalarang
213,104,Datarnangka
214,107,Dawagung
215,63,Dawungsari
216,63,Dayeuhmanggung
217,14,Dayeuhwangi
218,108,Depok
219,24,Depok
220,109,Derwati
221,63,Desakolot
222,55,Deudeul
223,110,Dirgahayu
224,111,Dungusiku
225,13,Dunguswiru
226,43,Empangsari
227,89,Emplak
228,97,Eureunpalay
229,13,Galihpakuwon
230,51,Gandamekar
231,52,Ganeas
232,49,Ganjaresik
233,112,Garumukti
234,10,Gegerbitung
235,106,Genteng
236,103,Geresik
237,42,Giriawas
238,38,Girijaya
239,42,Girijaya
240,113,Girijaya
241,22,Girikencana
242,25,Girimakmur
243,78,Girimukti
244,34,Girimukti
245,96,Girimukti
246,47,Girimukti
247,31,Girimukti
248,20,Girimukti
249,114,Girimukti
250,85,Giriwangi
251,80,Godog
252,99,Gombong
253,23,Gunajaya
254,28,Gunamekar
255,59,Gunung Gede
256,28,Gunung Jampang
257,59,Gunung Tandala
258,95,Gunungbatu
259,104,Gunungbentang
260,61,Gununghalu
261,66,Gunungsari
262,115,Gunungsari
263,93,Gunungsungging
264,85,Gunungtanjung
265,87,Guranteng
266,28,Hanjuang
267,88,Haruman
268,21,Harumandala
269,51,Harumansari
270,116,Haurpanggung
271,106,Hegarmanah
272,28,Hegarmanah
273,8,Hegarmanah
274,104,Hegarmanah
275,117,Hegarmanah
276,1,Hegarmulya
277,118,Hegarsari
278,51,Hegarsari
279,119,Hegarwangi
